343																		
HunterID	HunterType	HuntingDays	WeekdayHunterChance	GooseLookChance	Efficiency	HomeX	HomeY	NoFarmrefs	FarmRef1	FarmRef2	FarmRef3	FarmRef4	FarmRef5	FarmRef6	FarmRef7	FarmRef8	FarmRef9	FarmRef10
263	0	15	1	1	1	62347	50450	3	207	107	536	NA	NA	NA	NA	NA	NA	NA
264	0	15	1	1	1	60001	-108365	1	452	NA	NA	NA	NA	NA	NA	NA	NA	NA
265	0	15	1	1	1	-6850	19056	1	54	NA	NA	NA	NA	NA	NA	NA	NA	NA
266	0	15	1	1	1	-3431	6928	3	549	35	272	NA	NA	NA	NA	NA	NA	NA
267	0	15	1	1	1	71431	13463	3	532	465	21	NA	NA	NA	NA	NA	NA	NA
268	0	15	1	1	1	72739	11314	1	165	NA	NA	NA	NA	NA	NA	NA	NA	NA
269	0	15	1	1	1	53239	33345	2	32	159	NA	NA	NA	NA	NA	NA	NA	NA
270	0	15	1	1	1	67817	19423	1	379	NA	NA	NA	NA	NA	NA	NA	NA	NA
271	0	15	1	1	1	57580	23380	2	279	547	NA	NA	NA	NA	NA	NA	NA	NA
272	0	15	1	1	1	-20050	-15551	3	434	164	392	NA	NA	NA	NA	NA	NA	NA
